iPhone Model,Reviews
iPhone 8 ,One Star . FAKE IPHONE! BE AWARE
iPhone 8,One Star.I loved my phone until it stopped working after two weeks will never order from this seller again
iPhone 8,"The product was brand new and authentic. However, the description says the phone is unlocked, but when I received the device, it was connected to the T-Mobile carrier"
iPhone 8,"Worked perfectly.Ordered â€œLike Newâ€, unlocked 256gb iPhone 8 from meow-tronics. Came without the original box, as described, with an original Apple charging block and cable. Phone had some barely noticeable wear on the corner of the screen, but is otherwise perfect. Worked fine when I transferred my SIM card from iPhone SE on MetroPCS. Definitely would recommend buying from this seller."
iPhone 8,"I bought an iphone 8 that clearly says fully unlocked and I got a blocked phone, I am now out of the USA and I have tried to send the equipment and it has become impossible, I am not at all happy or satisfied, this purchase is a disaster, I can do?"
iPhone 8,great phone
iPhone 8,One Star. Paid $1000 for an iPhone 8 because it claimed fully unlocked but the phone was sim locked!!!!
iPhone 8,nice.I like it
iPhone 8,"Four Stars.Phone is doing great, iâ€™m satisfied."
iPhone 8,Five Stars.It worked just perfect!
iPhone 8,I received a fake iPhone!
iPhone 8,Five Stars.Works great
iPhone 8,We purchased this used in excellent condition and it was definitely an excellent condition and is working great. We have never had a problem with buying iPhones from Amazon.
iPhone 8,Five Stars. It was exactly as I expected.
iPhone 8,Five Stars.Very good
iPhone 8,Five Stars.Thumbs up!
iPhone 8,Five Stars.Good stuff!! Authentic one and having all official support from Apple!
iPhone 8,Five Stars. Thanks
iPhone 8,Five Stars. Great!
iPhone 8,Five Stars. Great phone!
iPhone 8,amazing phone seller overpriced!
iPhone 8,"Amazing phone but the seller charges $30 more than the Apple store just go there to get it plus the warranty is better and you can always add Apple care if you choose!
make sure to follow if you find reviews like this helpful!"
iPhone 8,"zero. hi sr. my iphone 8 suddenly restart when i play in facebook, instagram, and my camera doesn't work"
iPhone 8,Five Stars. Arrived on time and as expected
iPhone 8,"iPhone 8 is superior to iPhone X. I originally purchased an iPhone X but after 10 days the novelty wore off, and I switched it for the iPhone 8. Hereâ€™s why.

Touch ID on the iPhone 8 is faster and easier to use than Face ID - and enables me to open my phone before it leaves my pocket. I was also worried about the impact of Face ID which beams infrared laser dots into my eyes 30 times a day (10,000 times a year).

I prefer the rectangular screen of the 8 to the one on the X with its curved corners and weird inset.

Best of all, I can orientate my iPhone 8 simply by feeling the touch ID button - even in the dark or in a pocket. I can also see exactly how much battery percentage I have left, and closing apps is a snap compared to the X.

The iPhone 8 is brilliant - it's fast, simple and familiar to use. By comparison, the iPhone X feels gimmicky because its so-called innovations make it harder to use."
iPhone 8,One Star. the phone was not working and it was not unlocking.
iPhone 8,DONT BUY the iphone 8 isnt as water proof as you think i bought one and took it under water following the guidlines for wayer use and my charging isnt working as well and the water can damage the speakers
iPhone 8,One Star. Missing item
iPhone 8,"Wish I hadn't upgraded from 6s. I traded up from a 6s ,and I wished I hadn't.It's constantly freezing.I switch to numerals or caps, and I tap and tap ,nothing happens.Not everytime ,but enough to annoy me.There are a lot of minor inconveniences to numerous to mention.I'm on Sprint ."
iPhone 8,Four Stars. It is what I expected.
iPhone 8,"VOID SCAM. Do not buy, came scratched and got in a boot loop after 2 weeks of using. would never buy again"
iPhone 8,"Constantly updates new features that I cannot turn off or remove. Software update descriptions do not accurately describe new features added to the phone. Initial purchase includes all of Apple's features turned on by default. Just really irritated I have a computer I own and pay the complete price of, and I have no say in what is downloaded unto my phone."
iPhone 8,"i'm commenting just like them. Iphones are reliable and have a nice. I will be sincere. Since there are many Android fans here and nobody removes their worthless reviews, i'm commenting just like them.
Iphones are reliable and have a nice camera. PERIOD."
iPhone 8,Five Stars. Good
iPhone 8,One Star. Bad
iPhone 8,Four Stars. Excellent phone
iPhone 8,Great phone! Excellent purchase. I have Verizon and everything worked great. Much cheaper than brand new!
iPhone 8,Dont buy it espacially from fullfilment because Ä± bought 810 dollars and pay also register tax to My country but its left speaker doesnt work and when i mentioned this issue to Amazon they dont want to give any refund more than %10
iPhone 8,"Phone has stopped working. Do not buy from this seller, the phone doesn't last. Less than a year and the phone has stopped working. Very disappointed."
iPhone 8,"Original and function product. New and original product, working perfectly. Very satisfied!"
iPhone 8,Beware of fake ones. Received a fake iPhone. No joke. Complete dummy phone.
iPhone 8,IPhone unlocked. The IPhone is fully unlocked
iPhone 8,Five Star. Thumbs up!
iPhone 8,Five Stars. Still using it
iPhone 8,Five Stars. Good quality.
iPhone 8,Five Stars. This is great until I can afford a 10
iPhone 8,Five Stars. Excellent
