iPhone Model,Reviews
iphone x,"My phone came all good but after few months of use.My phone came all good but after few months of use, it became ghost typing. It types before I start to type anything. I have done all I could but it won't come back to what it was. I am so frustrated cus I sacrificed to get this phone. So sad to me that nothing can be done. Its brand new and still looks like it has never been used."
iphone x,Seller is a piece of garbage.Bought it for my girlfriends birthday. Arrived the day of and didn't work. Ruined her day. Do not buy from this seller
iphone x,"One Star.Its was not a brandnew as there was weitten Fraud
"
iphone x,Donâ€™t like when people are not truthful.These guys lied!! Itâ€™s not fully unlocked. Itâ€™s only GSM unlocked which means it wonâ€™t work on sprint or Verizon. Very unsatisfied with this!! Donâ€™t like when people are not truthful.
iphone x,Locked. Bad
iphone x,"PHONE IS NOT UNBLOCKED AS ANNOUNCED.I bought this phone last May, 2018 and until now I am stuck in AT&T service provider, unable to use the phone in any different kind of provider service, cause the phone is not FULLY UNBLOCKED as announced. Completely unsatisfied !!! Do not recommend this SELLER !!!!"
iphone x,Bad.It was not like in the description you can see in the pictures how I arrive for the state that I get an expensive price
iphone x,"Verizon SIM card Damage LCD!.Why did mine came with a verizon SIM card
I pray to god this is unlocked since Iâ€™m stationed in Korea serving the military so I canâ€™t test it yet. My receipt said that itâ€™s silver and $980
The LCD is also damage on the bottom!
"
iphone x,"it won't power on, after 2 weeks of use.It worked for a while, but now it doesn't power on. I paid over 1k for this phone..."
iphone x,Great.I love it. I am realy happy with my iPhone X
iphone x,"the product was a complete fake. The bottons on ...the product was a complete fake. The bottons on the side were falling apart. Item was not new, did not turn on. Did not even charge. Complete disgrace.
"
iphone x,"The software comes bad.I am disappointed this second purchase of the same product comes in poor condition. The software does not work as it should be, I need your help. I am in Guatemala, in December I bought the same product and I had no problem."
iphone x,"Best seller ,fast shipping, good price...Great product no problem...
I lov the seller."
iphone x,Five Stars.cant complain
iphone x,Perfect phone. Good
iphone x,Five Stars.Amazing phone and great features and long lasting battery
iphone x,"Five Stars.
nice and awesome product. I fall in love with it."
iphone x,"Don't waste your money.Overpriced for what you get. Prices on cellphones should be going down with new generations, not up.
"
iphone x,It's unlocked.Brand New as listed
iphone x,"Arrived in perfect condition, box in perfect condition.Arrived in perfect condition, box in perfect condition, 100% original and New. No scratches, dents, nothing.
Fully unlocked, worked in Colombia/South America. Excellent seller."
iphone x,"Sealed new phone received, it works great!!
I purchased this phone against the recommendations in the recent reviews and I am very happy I did. I received a brand new phone in sealed packaging, it is not blacklisted and is certainly not a dummy phone. Very happy with my purchase."
iphone x,"Five Stars.
The best of the best!, excellent screen, easy to use..."
iphone x,"Big upgrade from an iPhone 6..Phone came brand new with no dents and scratches from the long delivery. Good battery life and good phone overall. The phone feels very futuristic and is worth the money. The Hey Siri function and face recognition make the phone feel smooth and easy to use. The home button does need some time to get used to, but once you get used to it the iPhone 6 looks like a cavemanâ€™s phone with the giant button at the bott"
iphone x,"Great and quality device!. Great build quality, great screen, great battery life and the best feature is the Face ID, quick and realible, much better and fast than a fingerprint scanner. The bad side itâ€™s too expensive for what it is."
iphone x,Working Fine!.Perfectly working well at this time. Although it is pricey!
iphone x,"Five Stars. Amazing! It arrived brand new and everything is perfect.
"
iphone x,Good. Good
iphone x,"Five Stars.excellent
"
iphone x,Wow.Fantastic phone. I have no complaints.
iphone x,"
Now i don't have to write the passcode every time i need to open my phone.This device is awesome ðŸ˜ðŸ˜, seriously it took them just three days to ship the item although it was supposed to be a week.
"
iphone x,"
Only works for Verizon. Other than that great phone.Amazing phone. Wanted to put it on T-Mobile but itâ€™s a Verizon phone. Locked with Verizon. So unless you want to get a Verizon phone, donâ€™t get this one. Love the phone though."
iphone x,"Five Stars. Exelent phone, works just how itâ€™s shown.
"
iphone x,"Great phone.Excelent phone, grate seller. Perfect chipping ."
iphone x,"reliable.
Bought used, arrived quickly and in very good condition, no marks or scratches. Came with a charger. iPhone X is quick and easy to use. It does take a bit to charger, but not an unreasonable amount. Overall very happy with the purchase"
iphone x,Five Stars. nice Iphone x
iphone x,Very disappointed paid $1200 for a blacklisted phone. Phone was received and it was blacklisted
iphone x,Four Stars.Looks Goods...Thanks !
iphone x,"works great. Awesome Phone.Arrived early, works great. Awesome Phone!"
iphone x,Five Stars.Folks at Apple are indeed true innovators. Thank you Apple for enhancing my life.
