iPhone Model,Reviews
Iphone xr,"Impressed.The phone is speedy, and the battery life is excellent (mostly LTE connections during the day; at night, Verizon service at my house is awful and the phone runs over WiFi calling... now, this has no bearing on the phone itself, but this is the basis of my battery life comments.) I love the screen. "
Iphone xr,"Great Phone at a ""Reasonable"" Price. the XS has better technology in the screen and the dual lens system, but this phone (the XR) has an awesome screen that looks great, the camera is sensational (for a smartphone), and the additional screen real estate given the removal of the home button and the bezel-to-bezel screen is awesome. The phone is actually just a hair smaller than the 7+ we replaced and the screen is significantly larger. The phone is fast, face ID works well, and we are overall very pleased with this phone. If you love your Apple devices (or, more specifically, mobile devices that run iOS), prefer a large screen with newer technology, but do not want to pay a premium price, this is probably the best phone for you. You also have a choice of colors, which is pretty cool!"
Iphone xr,Camera technology is poor quality. The cameras were great and the screen was ideal for traveling. The battery life is incredible. The speaker sound is loud and crisp. Had no issues with Bluetooth connectivity to my vehicle. The issue I just couldnâ€™t get past was the camera technology. The zoom on the back camera is truly disappointing. Apple should not have released this phone with this camera technology. The front camera during FaceTime calls is grainy and so is the picture you view of the person you are talking to. Just had my carrier issue me a return label. I would not recommend to a friend.
Iphone xr,"Good solid phone. Phone is beautiful but the only downside is that itâ€™s glass front and back therefore you want a case.
"
Iphone xr,"Love it. Both of my step kids loves their new Apple iPhone XR, it's a big step up from the Apple iPhone 6s!!!"
Iphone xr,"Works perfectly. This phone is wonderful, large screen, great camera, crystal clear, couldnâ€™t ask for better!!"
Iphone xr,"Great phone. Five stars for this phone. Very fast, tough, and much better upgrades from previous versions"
Iphone xr,Great phone. I like the extra security function where no one can see your texts on screen if itâ€™s locked
Iphone xr,iPhone XR does not disappoint. The iPhone XR is a great phone at an affordable price. NO need to pay up for the iPhone XS.
Iphone xr,Kid approved. We allowed our kids to upgrade from the 6S to the XR and they both said that they love it!!!
Iphone xr,Great IPhone. This is the best IPhone Iâ€™ve had to date. I love the full screen and also the thin style.
Iphone xr,Works great. Lots to learn. So far so good. I love Iphones. The service at Best Buy was excellent. I
Iphone xr,"Great iPhone for my wife, I got one also, canâ€™t let her have all of the fun"
Iphone xr,Not as clear as my other iPhone. I will make it work. I like the face recognition. I do like the picture features.
Iphone xr,
Iphone xr,Great phone. I really like the new XR. Upgraded from the Galaxy S8 and couldnâ€™t be happier.
Iphone xr,MUCH FASTER. THIS WAS A BIG IMPROVEMENT FROM MY IPHONE 6. MUCH FASTER AND MANY MORE FEATURES.
Iphone xr,Was new and came with the newest chip. This phone had the latest chip in it and was also on sale so is a great deal.
Iphone xr,Great phone. Best IPhone yet great camera as always but the battery life is the real deal
Iphone xr,"Nice phone. Great phone, my son loves it! Itâ€™s got more features than the older models"
Iphone xr,Great camera. So far ao good. Excellent picture quality and processes at the speed of light
Iphone xr,R iphone. Great camera facial recognition is fast... just a bit heavier than expected
Iphone xr,"Love this phone. Absolutely love this phone, great battery life and great screen quality"
Iphone xr,Easy to use. Just got my new I phone and so far itâ€™s features are great and easy to use
Iphone xr,Good phone. This truly is a good looking and functioning phone!! I love iPhones though
Iphone xr,Best. This is a great phone for our 12 year old who loves to play games.
Iphone xr,Great Phone. I love my new phone. Apple did it again! The camera is awesome.
Iphone xr,"Great phone! Great economical phone! Fast, beautiful phone. Got two of them!"
Iphone xr,Good iphone. Although overpriced this is a good phone. It's way too large.
Iphone xr,"Great phone, very functional. The phone is everything you want, one issue is it is to heavy."
Iphone xr,Quick. Much faster than my 7+. Received no return box for old phone.
Iphone xr,"Amazing. Works Great, Very User friendly , Great Screen and Camera"
Iphone xr,Perfect Upgrade. Nice upgrade from the iPhone 6. Beautiful display and fast.
Iphone xr,Love this. Cheap alternative to an expensive charger. Highly recommend
Iphone xr,"great. My love's her new phone, we always love apple products."
Iphone xr,Love it. I like the phone. Great camera. Easy to use. Great color
Iphone xr,iphone xr 64 g. husband went from flip phone to this getting used to it
Iphone xr,"love it. of course love my phone, i love all apple products."
Iphone xr,Great phone. The iPhone XR is very streamlined and easy to learn.
Iphone xr,Great phone. Love the size. Great camera. Quick internet speed.
Iphone xr,Great phone. Love it!! This phone is very easy to use!!!!!!!!!!
Iphone xr,"Great iPhone. Fast, fast new iPhone Xr, just try it for yourself"
Iphone xr,Iphone XR. If new to iPhones this one is a very user friendly
Iphone xr,"Upgraded from 7+ Good Move. I had a 7+ and upgraded to the XR. So far so good. Iâ€™ve had it a week and battery life is great, screen size is great. It took about 2 days to get completely used to no longer having a home button, but now itâ€™s no big deal. 

I really like swiping left/right at the bottom of the screen for recently used apps instead of double tapping the home button on my 7+. Also, and this is a big plus for me, this phone has a bigger screen but feels much smaller in my pocket. I have a case on it and it feels like my 7+ did in my pocket without a case. I sometimes go looking for my XR because I canâ€™t tell itâ€™s actually in my pocket. 

Thatâ€™s a nice upgrade.

Also, the camera on this phone is amazing. I was worried going from the dual camera on the 7+ to a single camera but I have no regrets. Iâ€™m not a professional photographer by any means but I can spot a good picture and I have to say the camera on the XR is really good. Low light is no problem, colors are still very bright."
Iphone xr,"Great phone upgrade. I love this new iPhone XR 128 GB in white. For the past five years, I had been using the iPhone 5s. We looked at models from the 7 to XS, but never felt excited enough to get one. When the XR was released, I was excited for such a nice phone at a good price. 

The phone feels fast, takes great pictures and videos, and has a nice fit in my hands. FaceID seems to work pretty well. And the battery life has been outstanding. I was just at a national park for a week, and only had to recharge every other day. 

Based on my experience thus far, I would highly recommend this phone to anyone looking to upgrade from an iPhone 5 to 8, or anyone who doesnâ€™t care about OLED and doesnâ€™t need optical zoom on their phone."
Iphone xr,"Great iPhone. Every thing about this iPhone is great. I upgraded from iPhone 6 , this is a bit bigger between the Xs and Xs max . So if you donâ€™t like a bigger phone itâ€™s not for you. First the battery life is excellent last the whole day and next morning. The camera is really great. As for the screen resolution donâ€™t listen to the critics itâ€™s excellent. If youâ€™re upgrading from an iPhone 6 through 8 youâ€™ll wonâ€™t notice any difference. If you are using an oled display phone you will notice some but not much. And itâ€™s not a budget iPhone the critics labeled as such not Apple. it has 90 percent of 
What the Xs Has . If you can check it out at Best Buy or your phone carrier do so"
Iphone xr,"Love My New XR. It was time for a new iPhone. I preordered the XR and picked it up a week later. I've had it just four days but so far I absolutely am loving this phone. The face id is so cool and operating the phone is very easy. It's larger then my old phone and heavier but still comfortable to hold and carry. One item worth noting is there were a few apps that were hung up showing ""loading"" because of their size they would not load without using wi fi. I decided I didn't want them and deleted them. I recommend getting a glass screen cover and a sturdy case since I understand the repair cost is incredibly expensive."
Iphone xr,"Easy to use and understand! All the great aspects of iphone put into a more flawless and easier to use phone. The commands and swipes are effortless and smooth, the graphics and screen are stunning, and the sound is beautiful. My only issue (if you can call it that) is the size. Itâ€™s significantly larger than my old iphone 6s so itâ€™s more difficult to use one-handed but I also have small hands so this wonâ€™t be a problem for everyone. Overall itâ€™s every bit as exciting as Apple has made it out to be!!"
Iphone xr,"I really like this phone. I had been reading about the XR for about a month or so, and thought this hit the sweet spot of having most of the functions of the more expensive XS and XS Max at a better price. Coming from a 7 Plus, I have no issue with the screen, and I never used 3D touch a lot, so I don't really miss it. I think the pictures are just fine, plus having more colors for the XR tipped the scales for me toward it."
