iPhone Model	Reviews
iPhone XS	"I got the iPhone XS and returned it 3 hrs. later. I'm a filmmaker by trade and thought this could be a breakthrough in filmmaking especially with a high-end 4k camera on board. I got the phone home anxiously opened it up and went to the camera functions right away since that's all I care about, a phone is just a phone otherwise. Well, I shot some 4k footage, looked nice but now I need to see how creative I can get. I looked for the manual shutter speed control, there isn't one. I looked for the manual white balance, there isn't one. I looked. I looked for the manual ISO setting, not there. I looked for the manual aperture setting, doesn't have it. So basically its camera is not intended for any kind of production, it's really a point and shoot. The HDR feature is nice but again, no manual settings. Not production friendly at all. 3 hours later I repacked it and returned it and got the LGV40. Now I'll do a review on that as well but the IPhone XS doesn't even come close to the LGV40 in any shape or form."
iPhone XS	"Stolen item!!! Phone had been reported stolen by AT&T and stopped working. This seller obviously sells incompetent items.
"
iPhone XS	niiiiice. i love it
iPhone XS	"Seriously?Face ID is the worst part of this phone and it ruins the whole experience. There are so many times that fingerprint ID worked and Face ID doesn’t that the overall experience is just significantly less than the 8 was. The Wow of the larger screen/small bezels is short lived once you find out how many different odd ways you have to deal with not having a fingerprint reading Home button. At work I would get a notification on my 8, touch the home button and it was great. Now I get the notification and either have to pick the phone up or hit the screen until the passcode screen appears. With Touch ID I almost never had to enter the passcode and now I have to enter it all day long. If that weren’t annoying enough so many Landscape only apps have to have a white bar across the bottom of the screen to remind you that the only way Home is to swipe that edge. It just seems like they wanted to get rid of the Home button soooo badly that they were forced to make it work. Face ID does work—it’s as good as Windows Hello on my laptop—but it just can’t replace the Home button or Touch ID. It should be an addition to not replacement for. On the plus side—the screen looks great. Would have been great in an 8 with the new processor. Another “plus” is that my cracked back glass is not flaking apart. Gorilla Glass need gorilla glue. No I would not recommend this to a friend."
iPhone XS	"It's an iPhone. It's going to have amazing build quality, an amazing screen, Apple quality iOS, tons of features and a top quality camera. It's amazing! It is almost identical to the iPhone X of 2017, but there are a few very subtle differences. The main difference in this years model, the XS has the new A12 processor that does some insane processing that is basically what a desktop computer could do a few years back (and then some)... but this is in a phone. Pretty crazy!

These phones are also pretty expensive. If this phone wasn't going to be covered by my job, I wouldn't have gotten one. I'd rather spend my money on a full size laptop. But it is what it is. An Apple product. So... good job Apple.

 I would recommend this to a friend"
iPhone XS	"I held on to my iPhone 6s as long as I could but the battery life was beginning to fade quickly so I finally decided to upgrade to the Xs. This phone is so fun and easy to use! I thought not having a home button would make it harder to control but everything is very smooth and easily accessible. The facial recognition is great and very smart, the camera is clear and takes great pictures, and the speaker has nice volume and great quality sound. The phone is also more durable than any other phone I’ve had and I finally feel comfortable using a light case with no screen protector instead of an otter box. I also love how long the battery lasts! I can use my phone all day long and still have about 30-40% at the end of the day.

 I would recommend this to a friend"
iPhone XS	"I should have never left Apple for Samsung. After years of Android, the whole Note and S Pen thing really looses it's allure and is more of a novelty. I was quickly reminded how well Apple streamlines all the aspects of the phone, apps, contacts, settings, email, etc. I can go on. The battery life is great. I left the house at 4am yesterday, came back at 6pm, still had 36% left. The glass backing feels sturdy, and the processor is really fast, especially noticeable on my Arlo app, which lagged on my Note 8.

 I would recommend this to a friend"
iPhone XS	"Great upgraded iPhone! Much impressed with the battery life. It far exceeds previous models and with multiple apps open, I can get through the day without charging.

 I would recommend this to a friend"
iPhone XS	"So far iPhone XS has been good. Definitely different getting use to the way the phone works. But seems to be great ! 

Also little hesitant on scanning my face. Lol

 I would recommend this to a friend"
iPhone XS	"I upgraded from an iPhone 6 Plus, so this was a huge step up! I didn’t see the need to get the Max with the larger full screen on the Xs. Apple doesn’t disappoint!

 I would recommend this to a friend"
iPhone XS	"the iphone 10xs is awesome and replaced my iphone 6s plus which was still in great shape just battery getting weak. the pictures on this phone are incredible.

 I would recommend this to a friend"
iPhone XS	"I was afraid the new phone would feel too big but it’s perfect for a woman’s hand. 
It was super easy to figure out the new technology. I don’t even miss the home button!

 I would recommend this to a friend"
iPhone XS	"I love this new iPhone and have no complaints about it at at this time. The camera is especially awesome. Best Buy also provided excellent service during the purchase process.

 I would recommend this to a friend"
iPhone XS	"Although there is not much difference between the X and XS performance wise, their are some new tricks and security measures in place that make this phone the best there is out there.

 I would recommend this to a friend"
iPhone XS	"It was time to upgrade my iPhone 5 and very happy I waited. Love the screen size and camera quality. Took a while to get used to not having home button but eventually you do.

 I would recommend this to a friend"
iPhone XS	"Haven’t used all the features on this phone yet but it seems to process quicker than old phone. Battery life has been better than old phone. I’ve only charged it 3 times in the past week.

 I would recommend this to a friend"
iPhone XS	"I love the big screen - quickly got used to not having a home button & love, love the camera upgrade from my prior Iphone 6s. Battery life is also great - back to charging every other day.

 I would recommend this to a friend"
iPhone XS	"I love this phone! I moved from the iPhone 6 to the XS and couldn't be happier. The new interface and facial recognition are easy to use and work flawlessly. For me it is the perfect choice,

 I would recommend this to a friend"
iPhone XS	"I had the 8plus for a year and did not like the size of it. So, when I was able to upgrade to the XS, I did. It takes adjusting too, but overall, it has been great. I haven't had any issues.

 I would recommend this to a friend"
iPhone XS	"I got this phone late Oct. and I've absolutely enjoyed everything about it. The camera is awesome and quality is great. Battery could be a little better, but other than that great phone.

 I would recommend this to a friend"
iPhone XS	"I love the camera on this phone. Learning curve for this phone from my older version was not as difficult as I anticipated. The store staff were very helpful in going over different phone options.

 I would recommend this to a friend"
iPhone XS	"I updated from an iPhone 7plus to the iPhone Xs. The facial recognition is great - very fast!! This phone is an amazing upgrade from the 7plus! Great camera!! If you are ready to upgrade, this is the phone!!!

 I would recommend this to a friend"
iPhone XS	"now i get my huge screen without having a phone too big for my pockets or hands. though a pop socket is highly recommended the phone fits well in hand and is lightening fast, just waiting for 5g in the bay area

 I would recommend this to a friend"
iPhone XS	"I previously had the 6S and was in need of an upgrade. Really liking this phone so far. The updated tech makes for a quick and smooth experience running and switching between apps. I’m also liking the FaceID. Would recommend!

 I would recommend this to a friend"
iPhone XS	"I skipped a couple of the newer iPhone versions as the upgrade just wasn’t enough to justify the price. This model is certainly quite expensive for a phone but I do like it. Beautiful display, nice camera, nice interface, no more home button.

 I would recommend this to a friend"
iPhone XS	"The Apple XS iPhone was a change from the Apple iPhone 6X. After a few days I adapted to the phone without the home button. The apple phone is very easy to use and works great. I have the phone for about four weeks and I would recommend it to anyone.

 I would recommend this to a friend"
iPhone XS	"Sleek, stylish, and fast! the camera is amazing and the screen immerses you into being lost with any app you use. social medias are refreshingly fun and games along with emails and txting have a new feel and are exciting. love the phone but get a case ASAP!

 I would recommend this to a friend"
iPhone XS	"Had the iphone x. The xs is a little faster, just enough to notice on everyday stuff. Other than that it's the same phone since I'm not much into photography, games or AR stuff. I suspect gamers etc. will see a bigger jump in performance with the new neural engine.

 I would recommend this to a friend"
iPhone XS	"So far so good. Still miss the button at bottom of iPhone and having the touch recognition entry but it’s not terribly difficult to get into phone. I keep taking accidental screenshots of my lock screen and activating Siri due to button placement on phone though.

 I would recommend this to a friend"
iPhone XS	"I finally upgraded my iPhone 5s to a 10s. Wow! What a big difference. As expected, the iPhone is very user friendly. I love the camera. Portrait mode is awesome. With the spread sheet, power point, and word-like apps, I'm wondering why I still need a laptop.

 I would recommend this to a friend"
iPhone XS	"This is a great upgrade from my old iPhone. Love the battery length along with the screen. Still learning to get used to not having a home button but the Face ID is convient for unlocking various apps. Overall this is a great new phone and I’m enjoying learning all it can do.

 I would recommend this to a friend"
iPhone XS	"This is definitely the least exciting S release that Apple has made. Outside of some camera changes, there is really nothing better for the general user of the XS over the X. 

There's nothing wrong with the phone itself. Its a great piece of hardware. Its just not innovative.

 I would recommend this to a friend"
iPhone XS	"I traded up from an iPhone 8, very happy with this new equipment. Still learning the functions, but to date I have been totally amazed with the capabilities of this iPhone. I will consider upgrading again if and when there are any major changes to this product. Time will tell.

 I would recommend this to a friend"
iPhone XS	"This is by far the best iPhone that I've owned. It's facial recognition has exceeded my expectations and the phone is a lot quicker in responding and with loading apps. I really enjoy having the same size screen as the iPhone 7 +, in a smaller form factor.

 I would recommend this to a friend"
iPhone XS	"Had the Note 8. Had software issues and had it replaced 3 times. Decided it was time for a switch. So I went with the xs and love it. Have had it for about 3 weeks now. A smaller phone by far. Has great battery life. I get at least 18hrs and still have 10-15% left when I Go to charge it.

 I would recommend this to a friend"
iPhone XS	"Purchase iPhone X’s, upgraded from iPhone 7. Adjusting to changes, I’m appreciative of speed and enhanced features. I do wish the price was less, however I’m entrenched in Apple eco-system. The reps assisting at BestBuy were very supportive and made the transaction so smooth. Very courteous!

 I would recommend this to a friend"
iPhone XS	"I upgraded from 7s so this phone has exceeded my expectations in terms of display resolution and camera quality. I have a car that allows wireless charging so this feature is very convenient for me. On the flip side, battery life is poor. I feel like I’m constantly charging he phone which I thought I would be doing less of. Overall great phone but you will have to bear more charging sessions.

 I would recommend this to a friend"
iPhone XS	"Led screen is unreal! The screen goes all the way to the edge of the phone. Camera is awesome! Didn’t know if I would like it without the main button on the front. After about five minutes. Realized should of been this way the whole time. Only bad thing. I wouldn’t even say it’s a con. But the whole phone is glass! Very fragile! Feel like I’m holding a crystal egg! Get the Apple insurance and get a good case!

 I would recommend this to a friend"
